sku_id,candidato,wape_medio,bias_medio,mae_medio,tasa_fallback_backtest,sin_datos_suficientes
20902,benchmark,0.8064516129032258,-0.7419354838709677,16.666666666666668,0.0,False
20903,xgboost,0.9144395350900743,-0.0010220761668056078,17.379010423491984,0.3333333333333333,False
20914,ets_tsb,0.4312417650734604,-0.12100196425897083,229.9366364443897,0.0,False
20931,ets_tsb,0.46867473550127964,0.4050425266906417,7.986468518673526,0.0,False
20932,benchmark,1.2319407833426526,0.14910669116276595,24.222222222222225,0.0,False
20933,benchmark,,,,0.0,True
20936,benchmark,,,,0.0,True
20941,ets_tsb,0.924108574733796,-0.10508657745631723,10.637275296427923,0.0,False
20956,benchmark,1.619319277315239,1.409552543794181,128.88888888888889,0.0,False
20961,ets_tsb,0.6951960291534746,-0.13638438038721284,49.91666649716596,0.0,False
20963,ets_tsb,0.5819001099703236,-0.2692480741575196,51.124999769652874,0.0,False
20966,benchmark,40.84747474747475,40.84747474747475,135.33333333333334,0.0,False
20967,benchmark,1.008130081300813,0.975609756097561,41.333333333333336,0.0,False
20969,benchmark,0.5232170516396932,-0.15511509553126096,88.20833333333334,0.0,False
20970,benchmark,0.4626435072188683,0.11205826047033825,38.48279790385054,0.0,False
20971,benchmark,0.49944851220391817,0.1113317932321678,341.33333333333337,0.0,False
20972,ets_tsb,0.3407316974820832,-0.0949293961418704,225.79146898775244,0.0,False
20973,benchmark,1.4922506838854477,1.2751757588599553,398.53333333333336,0.0,False
20974,ets_tsb,0.37256943154931177,-0.08398006385314194,208.1764437546839,0.0,False
20975,benchmark,0.8943802192188964,0.5695724478706896,587.0833333333333,0.0,False
20977,random_forest,0.7309366881407391,0.31152981059075013,88.17898544246759,0.2857142857142857,False
20978,benchmark,0.333973170325568,0.08410625220643334,55.04166666666667,0.0,False
20979,ets_tsb,0.37387635135852426,-0.07657334409860389,126.95349915357639,0.0,False
20981,benchmark,0.5017853635263301,-0.05556266271632716,92.07732843137256,0.0,False
20982,benchmark,0.5229612736741325,0.29535311889751775,75.54166666666667,0.0,False
20983,random_forest,0.31708151482692304,0.16247099214240043,71.23810566748065,0.25,False
20984,random_forest,1.1232376967865525,-0.4288109462848435,514.7537736669195,0.3333333333333333,False
20985,random_forest,0.7846402506777652,0.05436452962158547,57.08042702263015,0.25,False
20986,random_forest,1.142625732908668,0.24325914461198012,49.10014329131517,0.25,False
20992,ets_tsb,0.5450995980533746,-0.24886692522375353,234.06705184917485,0.0,False
20996,ets_tsb,0.6739560440282892,-0.46960216082575257,200.46111355644138,0.0,False
20997,benchmark,3.618468726163234,2.956410500889906,16.666666666666664,0.0,False
20998,random_forest,0.5408441335609856,-0.012055683450188728,8.832637656325156,0.3333333333333333,False
21000,benchmark,0.9667397660818713,0.608406432748538,5.9444444444444455,0.0,False
21001,random_forest,0.5753350273073672,0.3777587765508426,2.810820915195915,0.25,False
21002,benchmark,,,,0.0,True
